Código de Erro;Situação;Descrição da Situação;
1;Leiaute fora do padrão;O leiaute está fora do padrão definido;
2;Arquivo já processado;O arquivo já foi processado na base de dados do Cadastro Único;
3;CPF inválido;O CPF informado é inválido;
4;CPF não encontrado;Pessoa não encontrada no Cadastro Único;
5;Pessoa excluída;Pessoa está excluída da base de dados do Cadastro Único;
6;Pessoa fora do perfil de renda;Pessoa identificada no Cadastro Único, com renda familiar per capita maior do que meio salário mínimo vigente;
7;Divergência nos dados consultados;CPF identificado no Cadastro Único, mas os dados fornecidos pelo candidato (nome completo ou data de nascimento) não permitiram confirmar a sua identidade;
8;Data de Nascimento Inválida;A data de Nascimento do Candidato está com um formato inválido (Correto: DD/MM/AAAA);
9;CNPJ diferente do CNPJ da Instituição Instituição;O CNPJ enviado no arquivo não é o mesmo cadastrado para o Edital;
10;Edital Diferente do Edital do Concurso Selecionado;O nome do edital informado no arquivo é diferente do edital do concurso selecionado;
11;Data do envio diferente da data de Upload;A data informada no arquivo é diferente da data em que foi feito upload do arquivo;
13;Cadastro desatualizado;Pessoa em família com data da inclusão ou data da última atualização cadastral maior do que 24 meses;